ID,VACANCY_TITLE,COMPANY_NAME,SALARY,CITY,DATE,PROGRAMMING_LANGUAGE,VACANCY_URL
94025433,Младший программист 1С / Стажер программист 1С,Ромашкина Ирина Сергеевна,,Волгоград,2024-03-06,C++,https://hh.ru/vacancy/94025433
93204701,Junior C++ разработчик алгоритмов геометрического моделирования,Ледас,70000,Новосибирск,2024-03-09,C++,https://hh.ru/vacancy/93204701
88736659,Программист/разработчик RPA (стажер/junior),ЦТР НЕКСТ,40000,Магнитогорск,2024-03-07,C++,https://hh.ru/vacancy/88736659
93883686,Младший программист 1С (Junior),ЛАНИТ,,Москва,2024-03-07,C++,https://hh.ru/vacancy/93883686
89552534,Разработчик встроенных систем (уровня Junior / Middle),НТЦ ЭЛИНС,170000,Химки,2024-03-06,C++,https://hh.ru/vacancy/89552534
91855132,Стажер-аналитик 1С,ПитерСофт,,Санкт-Петербург,2024-03-09,C++,https://hh.ru/vacancy/91855132
91910382,Специалист службы технической поддержки RPA (стажер/junior),ЦТР НЕКСТ,40000,Магнитогорск,2024-03-04,C++,https://hh.ru/vacancy/91910382
94191374,Преподаватель IT-дисциплин (младшая школа),ЧУ ДО Московская школа программистов,90000,Санкт-Петербург,2024-03-07,C++,https://hh.ru/vacancy/94191374
93336196,Преподаватель IT дисциплин,ЧУ ДО Московская школа программистов,160000,Москва,2024-03-08,C++,https://hh.ru/vacancy/93336196
93449890,Преподаватель IT дисциплин,ЧУ ДО Московская школа программистов,100000,Королев,2024-03-08,C++,https://hh.ru/vacancy/93449890
91655267,Преподаватель ЕГЭ (математика),ЧУ ДО Московская школа программистов,130000,Москва,2024-03-09,C++,https://hh.ru/vacancy/91655267
93240575,Преподаватель ЕГЭ математика,ЧУ ДО Московская школа программистов,130000,Мытищи,2024-03-09,C++,https://hh.ru/vacancy/93240575
94450348,Junior Frontend разработчик,EasyDev,60000,Москва,2024-03-09,JS,https://hh.ru/vacancy/94450348
94228875,Junior Frontend разработчик,MacBuildServer,50000,Самара,2024-03-07,JS,https://hh.ru/vacancy/94228875
94120837,Python junior разработчик,Скиллтеллект,50000,Санкт-Петербург,2024-03-01,JS,https://hh.ru/vacancy/94120837
93735388,Junior+ Frontend developer,Friend Lee,90000,Москва,2024-03-08,JS,https://hh.ru/vacancy/93735388
94416276,Младший специалист по искусственному интеллекту (ML),Аривист,50000,Санкт-Петербург,2024-03-07,JS,https://hh.ru/vacancy/94416276
91849357,Junior Backend-разработчик,Программные Системы,50000,Екатеринбург,2024-03-08,JS,https://hh.ru/vacancy/91849357
93831328,Junior Java разработчик,Центр цифрового развития,80000,Красноярск,2024-03-06,JS,https://hh.ru/vacancy/93831328
93214685,Junior Java Developer,"Trend Soft, студия",70000,Москва,2024-03-09,JS,https://hh.ru/vacancy/93214685
93861548,Junior Next.JS/React разработчик,Быков Василий Сергеевич,50000,Москва,2024-03-07,JS,https://hh.ru/vacancy/93861548
93157592,HTML-верстальщик,Traffic Dojo,40000,Пермь,2024-03-08,JS,https://hh.ru/vacancy/93157592
93919883,Junior Frontend - разработчик,Программные Системы,50000,Екатеринбург,2024-03-08,JS,https://hh.ru/vacancy/93919883
92938750,SQL-разработчик (Junior / Trainee),ics-it,50000,Москва,2024-03-07,JS,https://hh.ru/vacancy/92938750
93844847,Junior C#/.NET6 разработчик,WSS-Consulting,60000,Москва,2024-03-07,JS,https://hh.ru/vacancy/93844847
92938789,Junior Frontend-разработчик,Justice IT,,Таганрог,2024-03-07,JS,https://hh.ru/vacancy/92938789
93558913,Junior Web программист PHP + MySQL + JS,Фидживеб,40000,Уфа,2024-03-01,JS,https://hh.ru/vacancy/93558913
93774280,Младший программист C# (Junior C#),Центр информационно-коммуникационных технологий,80000,Москва,2024-03-09,JS,https://hh.ru/vacancy/93774280
93540310,Младший аналитик (IT),Olima,140000,Москва,2024-03-09,JS,https://hh.ru/vacancy/93540310
94141836,QA Инженер по Автоматизированному Тестированию (Junior),Виолентов Иван Андреевич,80000,Санкт-Петербург,2024-03-02,JS,https://hh.ru/vacancy/94141836
94338958,Frontend Developer (Angular),Effective Mobile,100000,Москва,2024-03-06,JS,https://hh.ru/vacancy/94338958
94052119,SQL-разработчик (Junior / Trainee),ics-it,,Чебоксары,2024-03-06,JS,https://hh.ru/vacancy/94052119
94051165,Стажер PHP Developer (Symfony),IQ GROUP,30000,Тюмень,2024-03-06,JS,https://hh.ru/vacancy/94051165
93933908,Junior php-разработчик,Adv.Cake,,Москва,2024-03-08,JS,https://hh.ru/vacancy/93933908
92354159,Программист 1С (стажер / младший),ЭРКОН,150000,Москва,2024-03-09,JS,https://hh.ru/vacancy/92354159
92941980,Junior программист-разработчик,МГК Информпроект,50000,Киров (Кировская область),2024-03-07,JS,https://hh.ru/vacancy/92941980
92675602,"Junior разработчик.Net (JavaScript (Vue), C#)",ДельтаЛизинг,,Владивосток,2024-03-09,JS,https://hh.ru/vacancy/92675602
92733178,Web-разработчик (Junior PHP),X3Group,20000,Барнаул,2024-03-06,JS,https://hh.ru/vacancy/92733178
94337715,Junior Разработчик PHP,Стройсервис (Группа предприятий),90000,Кемерово,2024-03-06,JS,https://hh.ru/vacancy/94337715
93886819,PHP разработчик (junior),"Дельтаинком, ЦИТ",60000,Казань,2024-03-07,JS,https://hh.ru/vacancy/93886819
93297809,PHP-разработчик (junior),Экспресс РМС,50000,Тула,2024-03-07,JS,https://hh.ru/vacancy/93297809
93447921,Junior fullstack-разработчик,"Текарт, консалтинговая группа",,Тула,2024-03-04,JS,https://hh.ru/vacancy/93447921
92833597,Junior Low-Code developer / Бизнес-аналитик,DBI,,Ростов-на-Дону,2024-03-06,JS,https://hh.ru/vacancy/92833597
91483163,Младший аналитик в команду поисковых систем сервиса путешествий,Туту.ру,,Москва,2024-03-09,JS,https://hh.ru/vacancy/91483163
91386648,Junior C#/.NET 7 разработчик,WSS-Consulting,,Москва,2024-03-07,JS,https://hh.ru/vacancy/91386648
92687865,Junior frontend разработчик (Angular),Декартус,,Севастополь,2024-03-03,JS,https://hh.ru/vacancy/92687865
94104874,Младший разработчик Siebel CRM,Nobilis.Team,,Рязань,2024-03-01,JS,https://hh.ru/vacancy/94104874
92324430,PHP-программист (Junior),Компания Intelsib,40000,Новосибирск,2024-03-08,JS,https://hh.ru/vacancy/92324430
93976213,Техник (младший инженер),Минимакс-94,70000,Москва,2024-03-08,JS,https://hh.ru/vacancy/93976213
93423582,Младший web-аналитик / веб-аналитик,Компания Intelsib,35000,Новосибирск,2024-03-08,JS,https://hh.ru/vacancy/93423582
